a-th-l/a (a2)  athletic
a-th-th-a     I think that
a-th-t-s      I think it is
a-t-i-t (a2)  air-tight
a-t-l-a       Atlanta
a-t-l-a-nt    Atlantic
a-tm          atom, item
a-tm-b-r-a-sh  adumbration
a-tm-i-s-d    itemized
a-t-m-o-s     atmosphere
a-tm-t        attempt
a-tm-td       attempted
a-tn          attain, I do not
a-tn/f        identification
a-tn/k        identical
a-tn/s-tn     I do not understand
a-tn-b-e      I do not believe
a-tn-d        attained, attend
a-tn-d-a      addenda
a-tn-d-e (e2)  attainder
a-tn-df       attentive, identify
a-tn-e        attorney
a-tn-e-l-o (e1)  attorney-at-law  (DJS Expert)
a-tn-e-s      attorneys
a-tn-e-u-t    attenuate
a-tn-o        I do not know
a-tn-o-e      adenoid
a-tn-r-a      itinerate
a-tn-r-a-nt   itinerant
a-tn-r-r-e    itinerary
a-tn-s-e      I do not see
a-tn-td       attended
a-tn-t-e      identity
a-tn-tm       addendum
a-tn-tn-s     attendance
a-t-o-m       I told him
a-t-r-e-b     attribute
a-t-r-k       attract
a-t-r-k-sh    attraction
a-t-r-k-v     attractive
a-t-r-o-sh    atrocious
a-u           how, out
a-u-f-e-t     outfit
a-u-k-m       outcome
a-u-l-a-n     outline
a-u-l-a-nt    outlined
a-u-l-e       outlet, owlet
a-u-l-u       outlook
a-u-mn-e-th-m  how many of them
a-u-r         outer
a-u-r-m-o     outermost
a-u-sh        I wish
a-u-s-i       outside
a-u-s-o-v     howsoever
a-u-s-tn-h    outstanding
a-u-s-t-o     out of stock
a-u-u-e-t     outwit
a-u-v         however
a-v           advantage, I have
a-v-a-l       avail
a-v-a-l-b     available
a-v-a-l-r-e-m  ad valorem
a-v-a-n-a     Havana
a-v-a-r-e-s   avarice
a-v-d-p-o-e   avoirdupois
a-v-e-r-b-l   adverbial
a-v-e-r-s     averse
a-v-e-s       adverse
a-v-e-t       advert
a-v-e-t (e2)  avert
a-v-k-a-t     advocate
a-v-l-b       available (Expert)
a-v-nt-e-sh   adventitious
a-v-nt-r      adventure
a-v-n-u       avenue
a-v-r         average (Expert), Havre
a-v-r-j       average
a-v-t         advertise
a-v-t/a       advertising agent
a-v-t-i-s     advertise (DJS)
a-v-t-m       advertisement
a-v-u-s       advantageous
b             be, but, by
b/d-r-s (intersected)  board of directors (DJS Expert)
b/o (o on side)  biology
b/o-e         biography
b-a           bay
b-a-b         babble, babe
b-a-b-e       baby
b-a-b-e-s     babies
b-a-b-t       babbit
b-a-g         bag
b-a-g-a-s     bagasse
b-a-g-s       bags
b-a-h         being able
b-a-k         back, bake
b-a-k-d       backward
b-a-k-f-th    back and forth
b-a-k-g       background (DJS Expert)
