"word","lazy","hint","formal","usage","keyer"
"appreciation","","","a-p-r-e-sh","",""
"appreciative","","","a-p-r-e-sh-/-v","",""
"apprentice","","","a-p-r-e-nt-e-s","",""
"approach","","","a-p-r-ch","",""
"appropriate","","","a-p-r-a","",""
"appropriation bill","","","a-p-r-a-b-l","",""
"approval","","","a-p-r-v-l","",""
"approve","","","a-p-r-v","",""
"approximate","","","a-p-r-x","",""
"April","","","a-p-r","",""
"apron","","","a-p-r-n","",""
"aptitude","","","a-p-t-e-t","",""
"aquarium","","","a-k-w-a-r-m","",""
"aquatic","","","a-k-/-a","",""
"aqueous","","","a-k-w-e-u-s","",""
"arable","","","a-r-b","",""
"arbitrage","","","a-r-b-t-r-j","",""
"arbitrament","","","a-r-b-t-r-a-m","",""
"arbitrary","","","a-r-b","",""
"arbitrate","","","a-r-b-t-r-a","",""
"arbutus","","","a-r-b-t-u-s","",""
"archaic","","","a-r-k-a-k","",""
"archbishop","","","a2-ch-b-e-sh","",""
"archduchy","","","a2-ch-d-ch-e","",""
"archery","","","a2-ch-e2-e","",""
"architect","","","a-k-t-e-k","",""
"arctic","","","a-r-k-t-e-k","",""
"are","","","r","",""
"are not","","","r-n","",""
"are you","","","r-u","",""
"aren't","","","r-nt","",""
"Argentina","","","a-jnt","",""
"argue","","","a-g-e-u","",""
"argument","","","a-g-m","",""
"argumentation","","","a-g-m-sh","",""
"arise","","","a-r-i-s","",""
"aristocrat","","","a-r-e-s-t-o-k","",""
"arithmetic","","","a-r-e-th","",""
"Arizona","","","a-r-e-s","",""
"Arizona ","","","a-s","",""
"Arkansas","","","a-r-k","",""
"Arkansas ","","","a-r","",""
"arm","","","a2-m","",""
"armament","","","a2-m-a-m","",""
"armchair","","","a2-m-ch-a2","",""
"Armenian","","","a2-mn-ea2-n","",""
"army","","","a2-m-e","",""
"around","","","a-r-nt","",""
"arraignment","","","a-r-a-mn","",""
"arrange","","","a-r-a","",""
"arranged","","","a-r-a-/-t","",""
"arrangement","","","a-r-a","",""
"arrangements","","","a-r-a-s","",""
"arrest","","","a-r-e-s","",""
"arrival","","","a-r-i","",""
"arrive","","","a-r-i","",""
"arrived","","","a-r-i-/-t","",""
"arrogance","","","a-r-o-g","",""
"arrogant","","","a-r-o-g","",""
"art","","","a2-t","",""
"arteriosclerosis","","","a2-t-e-r-s-k-l-e-r-ss","",""
"arthritis","","","a-r-th-r-i","",""
"artichoke","","","a2-t-ch-k","",""
"article","","","a2-t-/-k","",""
"artificial","","","a2-t-f-e-sh","",""
"artillery","","","a2-t-e-l","",""
"artist","","","a2-t-e-s","",""
"artistic","","","a2-t-/-s-t","",""
"as","","","a-s","",""
"as a matter of course","","","a-s-m-a-t-o-k","",""
"as a matter of fact","","","a-s-m-a-tf","",""
"as a result","","","a-s-r","",""
"as a rule","","","a-s-r-l","",""
"as follows","","","a-s-f-o","",""
"as good as","","","s-g-s","",""
"as great as","","","s-g-r-s","",""
"as low as","","","s-l-o-s2","",""
"as many as","","","s-mn-e-s","",""
"as much as","","","s-m-ch-s","",""
"as near as possible","","","s-n-e-s-p","",""
"as quickly as possible","","","s-k-e-k-e-p","",""
"as soon as possible","","","s-n-s-p","",""
"as the","","","a-s-th","",""
"as to","","","a-s-t-u","",""
"as well as","","","s-l-s2","",""
"as yet","","","a-s-e-t","",""
"as you","","","a-s-u","",""
"asbestos","","","a-s-b-e-s","",""
"ascend","","","a-s-e-n","",""
"ascendant","","","a-s-e-n-tn","",""
"ascent","","","a-s-e-nt","",""
"ascertain","","","a-s-e-tn","",""
"ascetic","","","a-s-/-a","",""
"asceticism","","","a-s-e-t-ss","",""
"ascribe","","","a-s-k-r","",""
"ashamed","","","a-sh-a-mt","",""
"Asiatic","","","a-sh-/-a","",""
"aside","","","a-s-i","",""
"asininity","","","a-s-e-n-/-nt","",""
"ask","","","s-k","",""
"asked","","","s-k-t","",""
"asleep","","","a-s-l-e-p","",""
"asparagus","","","a-s-p-a-r-g","",""
"aspect","","","a-s-p-k","",""
"asperse","","","a-s-p-r-s","",""
"aspirate","","","a-s-p-r-a","",""
"aspire","","","a-s-p-i","",""
"assassin","","","a2-ss-n","",""
"assemblage","","","a-s-e-m-j","",""
"assemble","","","a-s-e-m","",""
"assembly","","","a-s-e-m","",""
"assertion","","","a-s2-e-s2h","",""
"assess","","","a2-ss","",""
"asset","","","a-s-e-t","",""
"asseverate","","","a-s-e-v-e-r-a","",""
"assigned","","","a-s-i-nt","",""
"assignee","","","a-s-e-n-e","",""
"assignment","","","a-s-i-mn","",""
"assignor","","","a-s-e-n-r","",""
"assist","","","ss-t","",""
"assistance","","","ss-tn-s","",""
"assistant","","","ss-tn","",""
"assistant auditor","","","a-/-o","",""
"assistant general manager","","","a-j-<-m","",""
"assistant general passenger agent","","","a-j-p-a","",""
"assistant general purchasing agent","","","a-j-p-r-ch-/-a","",""
"assistant passenger traffic manager","","","a-p-t-<-m","",""
"assistant purchasing agent","","","a-/-p-r-ch-/-a","",""
"assistant ticket agent","","","a-t-e-k-a","",""
"associate","","","a-s-o-sh-t","",""
"association","","","a-s-o-sh","",""
"assonance","","","a-s-n-a-n-s","",""
"assortment","","","a-s-o-t-m","",""
"assume","","","a-s-m","",""
"assumed","","","a-s-m-/-t","",""
"assurance","","","a-sh-u-n-s","",""
"assure","","","a-sh-u","",""
"assured","","","a-sh-u-/-t","",""
"astonish","","","a-s-tn-sh","",""
"astound","","","a-s-t-nt","",""
"astray","","","a-s-t-r-a","",""
"astronomy","","","a-s-t-r-o-n","",""
"Asuncion","","","a-s-n-sh","",""
"asylum","","","a-s-i-l-m","",""
"at","","","t","",""
"at a loss","","","t-l-o-s","",""
"at all events","","","t-o-e-v","",""
"at all times","","","t-o-tm-s","",""
"at an early date","","","t-e2-td","",""
"at any","","","tn-e","",""
"at any date","","","tn-e-td","",""
"at any future time","","","tn-e-f-t-tm","",""
"at any rate","","","tn-r-a","",""
"at any time","","","tn-e-tm","",""
"at his","","","t-s","",""
"at once","","","tn-s","",""
"at that","","","t-th-a","",""
"at the","","","t-th","",""
"at the moment","","","t-mn","",""
"at the present moment","","","t-p-mn","",""
"at the present time","","","t-p-tm","",""
"at the same time","","","t-s-a-tm","",""
"at your earliest convenience","","","t-e-s-k-v","",""
"atavism","","","a-df-s-m","",""
"ate","","","a-t","",""
"atheism","","","a-th-e-s-m","",""
"athletic","","","a2-th-l-/-a2","",""
"Atlanta","","","a-t-l-a","",""
"Atlantic","","","a-t-l-a-nt","",""
"atmosphere","","","a-t-m-o-s","",""
"atom","","","a-tm","",""
"atrocious","","","a-t-r-o-sh","",""
"attach","","","a-t-ch","",""
"attachment","","","a-t-ch-m","",""
"attack","","","a-t-a-k","",""
"attain","","","a-tn","",""
"attainder","","","a-tn-d-e2","",""
"attained","","","a-tn-d","",""
"attempt","","","a-tm-t","",""
"attempted","","","a-tm-td","",""
"attend","","","a-tn-d","",""
"attendance","","","a-tn-tn-s","",""
"attended","","","a-tn-td","",""
"attention","","","tn-sh","",""
"attentive","","","a-tn-df","",""
"attenuate","","","a-tn-e-u-t","",""
"attitude","","","a-t-e-t","",""
