"word","formal","lazy","keyer","usage","hint"
"chest","ch-e-s-t","cesto","o","3702","chest = cesto (ch-e-s-t) [0]"
"impressed","m-p-r-e-s-t","mprest","","3706","impressed = mprest (m-p-r-e-s-t) [3]"
"procession","p-r-s-e-sh","prsez","","3708","procession = prsez (p-r-s-e-sh) [5]"
"external","e-s-/-n-l","esnl","","3709","external = esnl (e-s-/-n-l) [4]"
"defeat","df-e-t","dfet","","3711","defeat = dfet (df-e-t) [2]"
"destined","d-s-tn-d","dstnd","","3712","destined = dstnd (d-s-tn-d) [3]"
"federal","f-e-d-r-l","fedrl","","3715","federal = fedrl (f-e-d-r-l) [2]"
"reckon","r-e-k-n","rekn","","3718","reckon = rekn (r-e-k-n) [2]"
"grain","g-r-a-n","grano","o","3723","grain = grano (g-r-a-n) [0]"
"combined","k-b-i-/-t","kbit","","3724","combined = kbit (k-b-i-/-t) [4]"
"club","k-l-b","klb","","3725","club = klb (k-l-b) [1]"
"wire","i-r","iro","o","3727","wire = iro (i-r) [1]"
"accused","a-k-e-u-/-t","akut","","3729","accused = akut (a-k-e-u-/-t) [3]"
"elsewhere","l-s-a-r","lsar","","3730","elsewhere = lsar (l-s-a-r) [5]"
"conflict","k-f-l","kfl","","3731","conflict = kfl (k-f-l) [5]"
"entertained","n-/-tn-d","ntnd","","3732","entertained = ntnd (n-/-tn-d) [7]"
"prize","p-r-i-s","prisu","u","3738","prize = prisu (p-r-i-s) [0]"
"stupid","s-t-p-d","stpd","","3739","stupid = stpd (s-t-p-d) [2]"
"perfection","p-r-f-sh","prfz","","3745","perfection = prfz (p-r-f-sh) [6]"
"dirty","d-e2-t-e","dete","","3746","dirty = dete (d-e2-t-e) [1]"
"helpless","^-h-\-e-l-p-l","helpl","","3751","helpless = helpl (^-h-\-e-l-p-l) [3]"
"mount","mn-t","mnto","o","3753","mount = mnto (mn-t) [1]"
"curse","k-u-r-s","kurs","","3754","curse = kurs (k-u-r-s) [1]"
"correspondence","k-r-e-s","kreso","o","3762","correspondence = kreso (k-r-e-s) [9]"
"baron","b-a-r-n","barno","o","3764","baron = barno (b-a-r-n) [0]"
"railway","r-l","rlo","o","3770","railway = rlo (r-l) [4]"
"largest","l-a-j-e-s","lajes","","3772","largest = lajes (l-a-j-e-s) [2]"
