word,formal,lazy,keyer,usage,hint
occupier,o-kp-r,okpr,,4190,occupier = okpr (o-kp-r)  [4]
occupiers,o-kp-r-s,okprs,,4190,occupiers = okprs (o-kp-r-s)  [4]
occupies,o-kp-s,okps,,4190,occupies = okps (o-kp-s)  [4]
occupying,o-kp-\-h,okpg,,4190,occupying = okpg (o-kp-\-h)  [5]
limiting,l-e-m-e-t-\-h,lemetg,,4396,limiting = lemetg (l-e-m-e-t-\-h)  [2]
limits,l-e-m-e-t-s,lemets,,4396,limits = lemets (l-e-m-e-t-s)  [0]
normally,n-o-m-ye,nomy,,4590,normally = nomy (n-o-m-ye)  [4]
relates,r-e-l-a-s,relas,,4800,relates = relas (r-e-l-a-s)  [2]
documentary,d-o-k-m-r-e,dokmre,,5069,documentary = dokmre (d-o-k-m-r-e)  [5]
documentation,d-o-k-m-sh,dokmz,,5069,documentation = dokmz (d-o-k-m-sh)  [8]
documented,d-o-k-m-d,dokmd,,5069,documented = dokmd (d-o-k-m-d)  [5]
documenting,d-o-k-m-\-h,dokmg,,5069,documenting = dokmg (d-o-k-m-\-h)  [6]
documents,d-o-k-m-s,dokms,,5069,documents = dokms (d-o-k-m-s)  [4]
selections,s-e-l-e-k-sh-s,selekzs,,5218,selections = selekzs (s-e-l-e-k-sh-s)  [3]
logged,l-o-g-d,logd,,5239,logged = logd (l-o-g-d)  [2]
logging,l-o-g-\-h,logg,,5239,logging = logg (l-o-g-\-h)  [3]
selecting,s-e-l-e-k-\-h,selekg,,5294,selecting = selekg (s-e-l-e-k-\-h)  [3]
selective,s-e-l-e-k-v,selekv,,5294,selective = selekv (s-e-l-e-k-v)  [3]
selectively,s-e-l-e-k-v-e,selekve,,5294,selectively = selekve (s-e-l-e-k-v-e)  [4]
selects,s-e-l-e-k-s,seleks,,5294,selects = seleks (s-e-l-e-k-s)  [1]
availed,a-v-a-l-d,avald,,5529,availed = avald (a-v-a-l-d)  [2]
availing,a-v-a-l-\-h,avalg,,5529,availing = avalg (a-v-a-l-\-h)  [3]
avails,a-v-a-l-s,avals,,5529,avails = avals (a-v-a-l-s)  [1]
approvals,a-pr-v-l-s,aprvls,,5616,approvals = aprvls (a-pr-v-l-s)  [3]
disapproval,d-s-a-pr-v-l,daprvl,,5616,disapproval = daprvl (d-s-a-pr-v-l)  [5]
developed,dfl-d,dfld,,5759,developed = dfld (dfl-d)  [5]
developer,dfl-r,dflr,,5759,developer = dflr (dfl-r)  [5]
developers,dfl-r-s,dflrs,,5759,developers = dflrs (dfl-r-s)  [5]
developing,dfl-\-h,dflg,,5759,developing = dflg (dfl-\-h)  [6]
develops,dfl-s,dfls,,5759,develops = dfls (dfl-s)  [4]
patterned,p-a-tn-d,patnd,,5806,patterned = patnd (p-a-tn-d)  [4]
patterning,p-a-tn-\-h,patng,o,5806,patterning = patng (p-a-tn-\-h)  [5]
modification,m-o-d-\-f,modfi,i,6086,modification = modfi (m-o-d-\-f)  [7]
modifications,m-o-d-\-f-s,modfs,,6086,modifications = modfs (m-o-d-\-f-s)  [8]
modified,m-o-df-d,modfd,,6086,modified = modfd (m-o-df-d)  [3]
modifies,m-o-df-s,modfso,o,6086,modifies = modfso (m-o-df-s)  [2]
modifying,m-o-df-\-h,modfg,,6086,modifying = modfg (m-o-df-\-h)  [4]
extracted,e-s-/-k-d,xkd,,6269,extracted = xkd (e-s-/-k-d)  [6]
extracting,e-s-/-k-\-h,xkg,,6269,extracting = xkg (e-s-/-k-\-h)  [7]
extraction,e-s-/-k-sh,xkz,,6269,extraction = xkz (e-s-/-k-sh)  [7]
extractions,e-s-/-k-sh-s,xkzs,,6269,extractions = xkzs (e-s-/-k-sh-s)  [7]
extracts,e-s-/-k-s,xks,,6269,extracts = xks (e-s-/-k-s)  [5]
executable,e-s2-k-b,xkb,,6515,executable = xkb (e-s2-k-b)  [7]
