word,formal,lazy,keyer,usage,hint
spiritual,spercul,sprcul,,1850,spiritual = sprcul (spercul)  [3]
connects,keks,keks,,1859,connects = keks (keks)  [4]
paying,pag,pag,,1860,paying = pag (pag)  [3]
edward,eduEd,edued,,1865,edward = edued (eduEd)  [1]
centre,sentE,senteo,o,1875,centre = senteo (sentE)  [0]
bringing,brg,brg,,1878,bringing = brg (brg)  [5]
reasons,rsns,rsns,,1884,reasons = rsns (rsns)  [3]
attached,atact,atact,,1886,attached = atact (atact)  [3]
sein,sin,sinu,u,1896,sein = sinu (sin)  [0]
features,fecrs,fecrs,,1899,features = fecrs (fecrs)  [3]
objects,obs,obs,,1904,objects = obs (obs)  [4]
smiling,smig,smig,,1905,smiling = smig (smig)  [3]
rocks,roks,roks,,1908,rocks = roks (roks)  [1]
commanded,kmandt,kmandt,,1909,commanded = kmandt (kmandt)  [3]
irish,arz,arz,,1915,irish = arz (arz)  [2]
consciences,kznss,kznss,,1916,consciences = kznss (kznss)  [6]
fields,felds,felds,,1917,fields = felds (felds)  [1]
notes,nots,nots,,1918,notes = nots (nots)  [1]
