word,form,qwerd,keyer,chord,usage
Acetate,a-s2-e-t-a,Aseta,,qaest,0
Ascertain,a-s2-e-tn,Asetn,,qaenst,0
Asceticism,a-s2-e-t-ss,Asetss,,qaest,0
Asseverate,a-s2-e-v-e-r-a,Asevera,,qaersv,0
As follows,a-s2-f-o,Asfo,,qafos,0
As the,a-s2-th,Asho,o,qahos,0
Asylum,a-s-i-l-m,Asilm,,qailms,0
Ascribe,a-s2-k-r,Askr,,qakrs,0
Asleep,a-s-l-e-p,Aslep,,qaelps,0
As a matter of fact,a-s2-m-a-tf,Asmatf,,qafmst,0
As a matter of course,a-s2-m-a-t-o-k,Asmatok,,qakmost,0
Assonance,a-s2-n-a-n-s,Asnans,,qans,0
Asuncion,a-s2-n-sh,Asnz,,qansz,0
Assortment,a-s2-o-t-m,Asotm,,qamost,0
Asparagus,a-s-p-a-r-g,Asparg,,qagprs,0
Aspect,a-s-p-k,Aspk,,qakps,0
Aspirate,a-s-pr-a,Aspra,,qaprs,0
Asperse,a-s-pr-s,Asprs,,qaprs,0
As a rule,a-s-r-l,Asrl,,qalrs,0
Assassin,a2-ss2-n,Assn,,qans,0
I understand,a-/-s2-tn,Astn,,qanst,0
Astound,a-s2-t-nt,Astnd,,qadnst,0
Astonish,a-s2-tn-sh,Astnz,,qanstz,0
Astray,a-s2-t-r-a,Astrao,o,qaorst,0
Astronomy,a-s2-t-r-o-n,Astron,,qanorst,0
As to,a-s2-t-u,Astu,,qastu,0
I understood,a-/-s2-t-u,Astuo,o,qaostu,0
As you,a-s2-u,Asuo,o,qaosu,0
Artichoke,a2-t-ch-k,Atck,,qackt,0
Assistant ticket agent,a-t-e-k-a,Ateka,,qaekt,0
Artillery,a2-t-e-l,Atel,,qaelt,0
Arteriosclerosis,a2-t-e-r-s2-k-l-e-r-ss,Atersklerss,,qaeklrst,0
Artist,a2-t-e-s,Ates,,qaest,0
Artificial,a2-t-f-e-sh,Atfez,,qaeftz,0
Air-tight,a2-t-i-t,Atit,,qait,0
Atlanta,a-t-l-a,Atla,,qalt,0
Atlantic,a-t-l-a-nt,Atlant,,qalnt,0
Atmosphere,a-t-m-o-s,Atmos,,qamost,0
I do not believe,a-tn-b-e,Atnbeqk,,qabent,0
Attorney,a-tn-e,Atne,,qaent,0
Attorney-at-law,a-tn-e-l-o,Atnelo,,qaelnot,0
Attorneys,a-tn-e-s,Atnes,,qaenst,0
I do not know,a-tn-o,Atnoo,o,qanot,0
Itinerate,a-tn-r-a,Atnra,,qanrt,0
Itinerant,a-tn-r-a-nt,Atnrant,,qanrt,0
Itinerary,a-tn-r-r-e,Atnrre,,qaenrt,0
I do not see,a-tn-s-e,Atnse,,qaenst,0
I do not understand,a-tn-/-s2-tn,Atnstn,,qanst,0
Attenuate,a-tn-e-u-t,Atnut,,qantu,0
I told him,a-t-o-m,Atomo,o,qamot,0
Atrocious,a-t-r-o-sh,Atroz,,qaortz,0
Artistic,a2-t-/-s2-t,Atst,,qast,0
Atavism,a-df-s22-m,Atvsm,,qamstv,0
Havana,a-v-a-n-a,Avana,,qanv,0
Avarice,a-v-a-r-e-s,Avares,,qaersv,0
Avoirdupois,a-v-d-p-o-e,Avdpy,,qadpvy,0
Adverbial,a-v-e-r-bl,Averbl,,qabelrv,0
Averse,a-v-e-r-s,Avers,,qaersv,0
Adverse,a-v-e-s,Aves,,qaesv,0
Advert,a-v-e-t,Aveto,o,qaeotv,0
Advocate,a-v-k-a-t,Avkat,,qaktv,0
Adventitious,a-v-nt-e-sh,Avntez,,qaentvz,0
Avenue,a-v-n-u,Avnu,,qanuv,0
Havre,a-v-r,Avrqk,,qarv,0
Advertise,a-v-t,Avt,,qatv,0
Advertising agent,a-v-t-/-a,Avta,,qatv,0
Advertisement,a-v-t-m,Avtm,,qamtv,0
Advantageous,a-v-u-s,Avus,,qasuv,0
Asiatic,a-sh-/-a,Aza,,qaz,0
I should like to know,a-sh-d-l-a-n-o,Azdlano,,qadlnoz,0
I should like to have,a-sh-d-l-a-v,Azdlav,,qadlvz,0
Babe,b-a-b,Bab,,qab,0
