"word","form","qwerd","keyer","chord","usage"
"undetermined","n-e2-mn-/-t","nemmd","","demmn","38818"
"mined","m-i-nt","mindu","u","dimnu","40477"
"inexpedient","n-e-s-p-tn-t","nxpdnt","","dnnptx","41085"
"mordant","m-o-r-tn","mordn","","dmnor","41355"
"unbalanced","n-b-a-l-/-t","nbald","","abdln","41963"
"tendon","tn-tn","dndn","","ddnn","42471"
"compendium","k-jnt-m","kpndm","","dkmnp","42873"
"adjusted","a-j-u-s-/-t","ajusd","","adjsu","43396"
"append","a-jnt","apndo","o","adnop","44058"
"denizen","tn-e-s2-e-n","dnesen","","deenns","45175"
"unexpressed","n-e-s-pr-/-t","nxprd","","dnprx","46836"
"dandelion","tn-d-e-l-i-n","dndelin","","ddeilnn","48679"
"leavened","l-e-v-nt","levndo","o","delnov","50341"
"denominate","tn-o-mn-a-t","dnommat","","admmnot","50766"
"inconvenienced","n-k-v-e-n-/-t","nkvend","","deknnv","51419"
"coordinate","k-o-o-tn-a-t","koodnat","","adknoot","51800"
"despond","d-s-jnt","dspnd","","ddnps","53891"
"accordion","a-k-o-tn","akodn","","adkno","54364"
"bedridden","b-d-r-e-tn","bdredn","","bddenr","54785"
"fondant","f-o-nt-nt","fondnt","","dfnnot","56573"
"undated","n-td-/-t","nddd","","dddn","57490"
"undated","n-td-/-t","ndtd","","ddnt","57490"
"occident","o-k-s2-e-tn","oksedn","","deknos","57968"
"gradient","g-r-a-tn-t","gradnt","","adgnrt","61875"
"obsidian","o-b-s2-e-tn","obsedn","","bdenos","65993"
"coordination","k-o-o-tn-sh","koodnz","","dknooz","67958"
"addenda","a-tn-d-a","adnda","","aaddn","70022"
"addendum","a-tn-tm","adntm","","admnt","70023"
"adenoid","a-tn-o-e","adny","","adny","70024"
"after-dinner","a-f-tn-r","afdnr","","adfnr","70034"
"appendicitis","a-jnt-s-i","apndsi","","adinps","70082"
"can be done","k-b-tn","kbdn","","bdkn","70240"
"collodion","k-o-l-o-tn","kolodn","","dklnoo","70312"
"contused","k-t-e-u-/-t","ktud","","dktu","70342"
"could be done","k-d-b-tn","kdbdn","","bddkn","70361"
"credential","k-r-e-tn-sh","krednz","","deknrz","70365"
"decadance","d-e-k-a-tn-s","dekadns","","addekns","70402"
"decedent","d-s2-e-tn","dsedno","o","ddenos","70404"
"denature","tn-a-t-r","dnatr","","adnrt","70422"
"denim","tn-e-m","dnemo","o","demno","70423"
"dentistry","tn-t-e-s-r-e","dntesre","","deenrst","70424"
"dint ","tn-t","dntu","u","dntu","70443"
"dissidence","d-s2-e-tn-s","dsedns","","ddenss","70461"
"figured","f-e-g-r-/-t","fegrd","","defgr","70611"
"frightended","fr-i-nt","frind","","dfinr","70651"
"hand in hand","^-h-\-nt-nt","hndnt","","dhnnt","70730"
"has been done","a-s-b-tn","asbdn","","abdns","70733"
"has done","a-s2-tn","asdn","","adns","70734"
"have done","v-tn","vdn","","dnv","70738"
"hyphened","^-h-\-i-f-nt","hifnd","","dfhin","70801"
"i do not","a-tn","adno","o","adno","70817"
"i do not believe","a-tn-b-e","adnbe","","abden","70818"
"i do not know","a-tn-o","adnoo","o","adnoo","70819"
"i do not see","a-tn-s-e","adnse","","adens","70820"
"impedance","m-p-e2-tn-s","mpedns","","demnps","70856"
"impend","m-jnt","mpnd","","dmnp","70857"
"indent","n-tn-t","ndnto","o","dnnot","70924"
"indention","n-tn-sh","ndnzo","o","dnnoz","70925"
"interdenominational","n-/-tn-o-mn-sh-l","ndnommzl","","dlmmnnoz","70966"
"invoiced","n-v-s22-t","nvsd","","dnsv","70991"
"it must be done","tm-s-b-tn","tmsbdn","","bdmnst","71014"
"latitudinal","l-a-t-e-t-u-tn-l","latetudnl","","adellnttu","71065"
"low-spirited","l-o-s-pr-/-t","losprd","","dloprs","71119"
"may be done","m-a-b-tn","mabdn","","abdmn","71184"
"melodeon","m-e-l-o-tn","melodn","","delmno","71197"
"molybdenum","m-o-l-e-b-tn-u-m","molebdnum","","bdelmmnou","71238"
"muscadine","m-u-s2-k-a-tn","muskadn","","adkmnsu","71281"
"nearsighted","n-e-r-s2-i-td","nersitd","","deinrst","71305"
"nickelodeon","n-e-k-l-o-tn","neklodn","","deklnno","71328"
"opinionated","o-p-n-a-td","opnatd","","adnopt","71437"
"ordinal","o-tn-l","odnl","","dlno","71443"
"pasadena","p-a-s2-tn-a","pasdna","","aadnps","71477"
"pending bill","jnt-b","pndb","","bdnp","71484"
"pending legislation","jnt-l-j","pndlj","","djlnp","71485"
"pending resolution","jnt-r-s2-o-sh","pndrsoz","","dnoprsz","71486"
"phoned","f-o-nt","fondu","u","dfnou","71495"
"president of the united states","pr-e-s2-tn-e-u-s","presdnus","","denprssu","71509"
"readdressed","r-ea-d-r-/-t","redrd","","dderr","71528"
"should be done","sh-d-b-tn","zdbdn","","bddnz","71583"
"so-called","s2-o-k-o-/-t","sokod","","dkoos","71586"
"they do not","th-e-tn","hedno","o","dehno","71682"
"they do not know","th-e-tn-o","hednoo","o","dehnoo","71683"
"time-honored","tm-o-n-e2-/-t","tmoned","","demnot","71695"
"to be done","t-b-tn","tbdn","","bdnt","71707"
"unaddressed","n-a-d-r-/-t","nadrd","","addnr","71763"
"unanticipated","n-a-/-s-e-p-/-t","nasepd","","adenps","71764"
"unarranged","n-a-r-a-/-t","narad","","aadnr","71765"
"uncorrected","n-k-r-/-t","nkrd","","dknr","71768"
"unlined","n-l-a-nt","nland","","adlnn","71777"
"we do not","u-e-tn","uedn","","denu","71811"
"we do not believe","u-e-tn-b-e","uednbe","","bdeenu","71812"
"we do not know","u-e-tn-o","uedno","","denou","71813"
"we have done","u-e-v-tn","uevdn","","denuv","71818"
"what has been done","o-t-a-s-b-tn","otasbdn","","abdnost","71847"
"will be done","l-b-tn","lbdn","","bdln","71860"
"would be done","d-b-tn","dbdn","","bddn","71874"
"you do not","u-tn","udn","","dnu","71884"
"you do not know","u-tn-o","udno","","dnou","71885"
